filename,notes,authors,licenses,url1,url2,url3,url4,url5,url6,url7,url8,url9,url10,url11,url12,url13,url14,url15,status
shadow/adult/shadow.png,,drjamgo@hotmail.com,CC0,https://opengameart.org/content/shadow-for-lpc-sprite,,,,,,,,,,,,,,,OK
body/bodies/male/universal/light.png,,"bluecarrot16, Benjamin K. Smith (BenCreating), Evert, Eliza Wyatt (ElizaWy), TheraHedwig, MuffinElZangano, Durrani, Johannes Sj?lund (wulax), Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases,,,,,,,OK
head/heads/human_male/universal/light.png,,"bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases,,,,,,,,,,,,,,OK
hair/high_and_tight/male/black.png,,"Skorpio, bluecarrot16","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-skorpios-scifi-sprite-pack,https://opengameart.org/content/lpc-hair,,,,,,,,,,,,,,OK
torso/armour/leather/male/blue.png,,Johannes Sjölund (wulax),"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates,,,,,,,,,,,,,,OK
legs/armour/plate/male/steel.png,,"bluecarrot16, Michael Whitlock (bigbeargames), Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,,,,,,,,,,,OK
weapon/sword/longsword/longsword.png,,"Johannes Sjölund (wulax), bluecarrot16",CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,,,,,,,OK
weapon/sword/longsword/universal_behind/longsword.png,,"Johannes Sjölund (wulax), bluecarrot16",CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,,,,,,,OK
weapon/sword/longsword/attack_slash/behind/longsword.png,,"Johannes Sjölund (wulax), bluecarrot16",CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,,,,,,,OK
weapon/sword/longsword/attack_slash/longsword.png,,"Johannes Sjölund (wulax), bluecarrot16",CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,,,,,,,OK
weapon/sword/longsword/attack_slash_reverse/behind/longsword.png,,"Johannes Sjölund (wulax), bluecarrot16",CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,,,,,,,OK
weapon/sword/longsword/attack_slash_reverse/longsword.png,,"Johannes Sjölund (wulax), bluecarrot16",CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,,,,,,,OK
weapon/sword/longsword/attack_thrust/behind/longsword.png,,"Johannes Sjölund (wulax), bluecarrot16",CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,,,,,,,OK
weapon/sword/longsword/attack_thrust/longsword.png,,"Johannes Sjölund (wulax), bluecarrot16",CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,,,,,,,OK